"id"         ,"mark"         ,"model"             ,"fuel"             ,"gearbox" ,"mileage"  ,"year" ,"type"      ,"drive"       ,"hp"  ,"color"   ,"motorsize" ,"first_in_traffic" ,"region"         ,"price"
"1400627502" ,"Volkswagen"    ,"Golf"               ,"Diesel"              ,"Automat"   ,"12 300"  ,"2017"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"184" ,"Grå"    ,"1968"         ,"2016-12-22"     ,"Örebro"         ,194900
"1400653941" ,"Nissan"        ,"Almera"             ,"Bensin"              ,"Manuell"   ,"19 263"  ,"2005"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"116" ,"Grå"    ,"1769"         ,"2005-08-26"     ,"Västerbotten"   ,22000
"1400653972" ,"Alfa Romeo"    ,"MiTo"               ,"Diesel"              ,"Manuell"   ,"13 357"  ,"2011"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"96"  ,"Svart"  ,"1248"         ,"2011-08-22"     ,"Stockholm"      ,49000
"1400653956" ,"Volkswagen"    ,"Tiguan"             ,"Diesel"              ,"Manuell"   ,"23 000"  ,"2011"     ,"SUV"         ,NA               ,NA    ,NA       ,NA             ,NA               ,"Stockholm"      ,60000
"1400653925" ,"BMW"           ,"520"                ,"Diesel"              ,"Automat"   ,"214 590" ,"2015"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Svart"  ,"1995"         ,"2015-04-15"     ,"Södermanland"   ,139900
"1400653883" ,"Opel"          ,"Insignia"           ,"Diesel"              ,"Manuell"   ,"22 875"  ,"2009"     ,"Kombi"       ,"Tvåhjulsdriven" ,"161" ,"Grå"    ,"1956"         ,"2009-10-23"     ,"Västerbotten"   ,53000
"1400516411" ,"BMW"           ,"320"                ,"Diesel"              ,"Automat"   ,"17 900"  ,"2014"     ,"Kombi"       ,"Fyrhjulsdriven" ,"184" ,"Grå"    ,"1995"         ,"2013-09-19"     ,"Blekinge"       ,148000
"1400653728" ,"Audi"          ,"A7"                 ,"Bensin"              ,"Automat"   ,"8 836"   ,"2016"     ,"Halvkombi"   ,"Fyrhjulsdriven" ,"252" ,"Grå"    ,"1984"         ,"2016-05-12"     ,"Stockholm"      ,369000
"1400637141" ,"Seat"          ,"Altea"              ,"Bensin"              ,"Manuell"   ,"12 000"  ,"2006"     ,"Familjebuss" ,"Tvåhjulsdriven" ,"102" ,"Röd"    ,"1595"         ,"2007-04-13"     ,"Halland"        ,45000
"1400611096" ,"Mercedes-Benz" ,"E"                  ,"Bensin"              ,"Automat"   ,"7 650"   ,"2003"     ,"Sedan"       ,"Tvåhjulsdriven" ,"476" ,"Svart"  ,"5439"         ,"2004-06-22"     ,"Göteborg"       ,349000
"1400653818" ,"Volvo"         ,"V90 Cross Country"  ,"Diesel"              ,"Automat"   ,"19 000"  ,"2020"     ,"Kombi"       ,"Fyrhjulsdriven" ,"200" ,"Vit"    ,"1969"         ,"2019-10-15"     ,"Skåne"          ,299000
"1400653875" ,"Volkswagen"    ,"Golf"               ,"Bensin"              ,"Manuell"   ,"25 200"  ,"2010"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"123" ,"Grå"    ,"1390"         ,"2009-10-05"     ,"Östergötland"   ,41000
"1400653828" ,"Volvo"         ,"XC60"               ,"Diesel"              ,"Manuell"   ,"24 101"  ,"2015"     ,"SUV"         ,"Tvåhjulsdriven" ,"181" ,"Svart"  ,"1969"         ,"2015-04-02"     ,"Stockholm"      ,140000
"1400653862" ,"Kia"           ,"CEED"               ,"Diesel"              ,"Manuell"   ,"20 600"  ,"2014"     ,"Kombi"       ,"Tvåhjulsdriven" ,"128" ,"Grå"    ,"1582"         ,"2013-10-18"     ,"Älvsborg"       ,75000
"1400653835" ,"Mercedes-Benz" ,"CLS"                ,"Bensin"              ,"Automat"   ,"14 400"  ,"2005"     ,"Coupé"       ,"Tvåhjulsdriven" ,"272" ,"Svart"  ,"3498"         ,"2020-02-29"     ,"Skåne"          ,76900
"1400653717" ,"Jaguar"        ,"XF"                 ,"Diesel"              ,"Automat"   ,"4 475"   ,"2019"     ,"Kombi"       ,"Tvåhjulsdriven" ,"180" ,"Svart"  ,"1999"         ,"2019-02-22"     ,"Skåne"          ,279000
"1400653706" ,"Ford"          ,"Fiesta"             ,"Bensin"              ,"Automat"   ,"4 825"   ,"2019"     ,"Kombi"       ,"Tvåhjulsdriven" ,"101" ,"Vit"    ,"998"          ,"2019-07-26"     ,"Östergötland"   ,163900
"1400652213" ,"Hyundai"       ,"i10"                ,"Bensin"              ,"Manuell"   ,"10 222"  ,"2011"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"70"  ,"Röd"    ,"1086"         ,"2011-01-11"     ,"Östergötland"   ,39900
"1400653791" ,"Ford"          ,"Focus"              ,"Bensin"              ,"Manuell"   ,"11 036"  ,"2017"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"101" ,"Röd"    ,"998"          ,"2017-03-31"     ,"Gävleborg"      ,95000
"1400649939" ,"Tesla"         ,"Model 3"            ,"El"                  ,"Automat"   ,"15 000"  ,"2019"     ,"Sedan"       ,"Fyrhjulsdriven" ,"441" ,"Svart"  ,NA             ,"2019-03-05"     ,"Dalarna"        ,280000
"1400653545" ,"Volvo"         ,"S80"                ,"Diesel"              ,"Automat"   ,"33 000"  ,"2008"     ,"Sedan"       ,"Fyrhjulsdriven" ,"185" ,"Svart"  ,"2401"         ,"2007-07-25"     ,"Stockholm"      ,59000
"1400653745" ,"Volkswagen"    ,"Passat"             ,"Diesel"              ,"Automat"   ,"18 000"  ,"2016"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Röd"    ,"1968"         ,"2015-06-29"     ,"Södermanland"   ,155000
"1400653594" ,"Volvo"         ,"V60"                ,"Diesel"              ,"Automat"   ,"13 160"  ,"2020"     ,"Kombi"       ,"Tvåhjulsdriven" ,"150" ,"Grå"    ,"1969"         ,"2020-04-09"     ,"Kronoberg"      ,240000
"1400584089" ,"Citroën"       ,"C4 Cactus"          ,"Diesel"              ,"Automat"   ,"21 227"  ,"2014"     ,"Kombi"       ,"Tvåhjulsdriven" ,"93"  ,"Brun"   ,"1560"         ,"2014-06-26"     ,"Stockholm"      ,74900
