"Id"         ,"Märke"         ,"Modell"             ,"Bränsle"             ,"Växellåda" ,"Miltal"  ,"Modellår" ,"Biltyp"      ,"Drivning"       ,"HK"  ,"Färg"   ,"Motorstorlek" ,"Datum i trafik" ,"Region"         ,"Pris"
"1400610455" ,"Subaru"        ,"Outback"            ,"Diesel"              ,"Manuell"   ,"26 879"  ,"2010"     ,"Kombi"       ,"Fyrhjulsdriven" ,"150" ,"Vit"    ,"1998"         ,"2010-05-20"     ,"Stockholm"      ,92000
"1400633321" ,"Audi"          ,"A4"                 ,"Diesel"              ,"Manuell"   ,"18 569"  ,"2015"     ,"Kombi"       ,"Fyrhjulsdriven" ,"150" ,"Vit"    ,"1968"         ,"2014-12-29"     ,"Västernorrland" ,130000
"1400633467" ,"Volkswagen"    ,"Passat"             ,"Diesel"              ,"Automat"   ,"10 741"  ,"2018"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Grå"    ,"1968"         ,"2018-03-27"     ,"Kalmar"         ,229000
"1400632606" ,"BMW"           ,"320"                ,"Bensin"              ,"Manuell"   ,"31 244"  ,"2007"     ,"Cab"         ,"Tvåhjulsdriven" ,"170" ,"Vit"    ,"1995"         ,"2017-10-19"     ,"Örebro"         ,124000
"1400633377" ,"Kia"           ,"Sportage"           ,"Diesel"              ,"Automat"   ,"21 300"  ,"2014"     ,"Kombi"       ,"Fyrhjulsdriven" ,"184" ,"Grå"    ,"1995"         ,"2014-07-31"     ,"Värmland"       ,115000
"1400633452" ,"BMW"           ,"Z4"                 ,"Bensin"              ,"Automat"   ,"8 744"   ,"2009"     ,"Cab"         ,"Tvåhjulsdriven" ,"306" ,"Grå"    ,"2979"         ,"2014-12-17"     ,"Halland"        ,245000
"1400633160" ,"Nissan"        ,"Qashqai"            ,"Bensin"              ,"Automat"   ,"10 014"  ,"2016"     ,"SUV"         ,"Tvåhjulsdriven" ,"116" ,"Röd"    ,"1197"         ,"2016-06-23"     ,"Göteborg"       ,155000
"1400633383" ,"BMW"           ,"M5"                 ,"Diesel"              ,"Automat"   ,"15 500"  ,"2012"     ,"Kombi"       ,"Fyrhjulsdriven" ,"381" ,"Vit"    ,"2993"         ,"2012-04-30"     ,"Skåne"          ,265000
"1400633346" ,"Volkswagen"    ,"Golf"               ,"Diesel"              ,"Automat"   ,"200 000" ,"2014"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"105" ,"Vit"    ,"1598"         ,"2013-08-27"     ,"Skåne"          ,100000
"1400633336" ,"Peugeot"       ,"3008"               ,"Diesel"              ,"Automat"   ,"17 310"  ,"2015"     ,"Kombi"       ,"Tvåhjulsdriven" ,"120" ,"Vit"    ,"1560"         ,"2015-09-17"     ,"Kronoberg"      ,105000
